baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GeneID,gene_symbol,regulation_level
177.3701428,1.686490965,0.343649787,4.907586237,9.22E-07,7.73E-06,ENSRNOG00000017725,Pnlip,Upregulated
104.5002582,1.859117113,0.440434971,4.221093317,2.43E-05,0.000153173,ENSRNOG00000029399,Bcam,Upregulated
50.9127733,1.662603978,0.616783625,2.695603305,0.007026129,0.023155115,ENSRNOG00000013938,Tshz3,Upregulated
3.959719306,-5.485721584,2.934637936,-1.869300985,0.061580951,0.13732476,ENSRNOG00000016041,Zc3h12d,Unchanged
404.7018952,-0.076521836,0.284652936,-0.268825038,0.788064325,0.865435889,ENSRNOG00000011310,Pde10a,Unchanged
384.9284753,-0.514381953,0.24066448,-2.137340555,0.032570303,0.082864772,ENSRNOG00000020113,Cnnm2,Unchanged
2554.192142,-1.351373505,0.165460296,-8.167358192,3.15E-16,9.06E-15,ENSRNOG00000034075,Ube2ql1,Downregulated
23.9023129,1.852714482,0.898333247,2.062391088,0.039170517,0.095958166,ENSRNOG00000016058,Kazald1,Unchanged
562.5350302,1.148941463,0.222235303,5.169932271,2.34E-07,2.16E-06,ENSRNOG00000018677,Akt2,Upregulated
29.4499922,0.218363247,1.166193685,0.187244408,0.851469008,0.908125444,ENSRNOG00000043341,Zfp51,Unchanged
336.8074583,1.115308686,0.321647147,3.467491312,0.000525341,0.002420511,ENSRNOG00000024140,Sft2d1,Upregulated
379.1152889,0.446685233,0.279218797,1.599767774,0.10965011,0.215435832,ENSRNOG00000020394,Mcmbp,Unchanged
9.870856024,2.45157407,1.82229568,1.345321781,0.178521343,0.313646883,ENSRNOG00000020562,Slc22a18,Unchanged
10.34861833,1.914023005,1.662948313,1.150981658,0.249739782,0.401125891,ENSRNOG00000058047,NA,Unchanged
387.0908958,0.0583287,0.33628903,0.173448121,0.862299203,0.915211829,ENSRNOG00000024239,Fam89b,Unchanged
1737.403994,-0.213194502,0.156878744,-1.358976348,0.174154084,0.307978807,ENSRNOG00000010427,Ipo7,Unchanged
18.971216,-2.441426159,1.428964518,-1.708528189,0.087538381,0.180880768,ENSRNOG00000018752,Clcf1,Unchanged
2.927027391,1.106719609,3.326661964,0.332681715,0.739374553,0.831143005,ENSRNOG00000057852,Cacng6,Unchanged
71.26504837,2.450157167,0.64891389,3.775781664,0.000159507,0.00083137,ENSRNOG00000030210,Fndc1,Upregulated
2106.10846,-1.072130303,0.132507526,-8.091089894,5.91E-16,1.63E-14,ENSRNOG00000014330,Pcmt1,Downregulated
517.9924156,-0.099488101,0.21318774,-0.466668958,0.640736742,0.761161647,ENSRNOG00000013239,Tle4,Unchanged
134.3639021,0.7678069,0.415868488,1.846273334,0.064852528,0.143000198,ENSRNOG00000031328,Zfp110,Unchanged
14.82702959,4.587212647,1.835207733,2.499560439,0.012434749,0.037502117,ENSRNOG00000020124,Lrrc51,Upregulated
1686.793341,0.491324087,0.14407043,3.410304845,0.000648903,0.002908867,ENSRNOG00000056946,Scaf1,Unchanged
597.3077945,0.004364606,0.258645609,0.016874852,0.986536455,0.992336455,ENSRNOG00000021006,Tmem147,Unchanged
4.909812002,3.475438301,2.523904365,1.377008713,0.168509554,0.300146918,ENSRNOG00000019142,Fas,Unchanged
135.7728598,-0.427169713,0.388144316,-1.100543524,0.271095377,0.425407493,ENSRNOG00000014186,Zswim9,Unchanged
101.1836401,1.134129857,0.552424625,2.053003807,0.040072208,0.097654199,ENSRNOG00000020956,Bcat2,Unchanged
1471.049455,-0.675146013,0.162808746,-4.146865761,3.37E-05,0.000206319,ENSRNOG00000019430,Coro1a,Downregulated
428.1081283,1.951590234,0.253371509,7.702484939,1.33E-14,3.19E-13,ENSRNOG00000012404,Thrsp,Upregulated
119.6448585,-0.003061119,0.471844497,-0.006487559,0.994823713,0.997532656,ENSRNOG00000015180,Kdm8,Unchanged
307.1499223,0.404501791,0.291199855,1.389086513,0.164806444,0.295204375,ENSRNOG00000020164,NA,Unchanged
36.69865673,-0.922409808,0.912376152,-1.01099728,0.312017732,0.469680205,ENSRNOG00000021179,Naa40,Unchanged
168.4648678,-0.637219541,0.390412258,-1.632170938,0.102643481,0.205125712,ENSRNOG00000019138,Clec11a,Unchanged
8.75100882,1.190054289,2.103565164,0.565732077,0.571575926,0.708671091,ENSRNOG00000019627,Mybpc2,Unchanged
5.244660482,3.816819201,2.595210941,1.470716365,0.141367839,0.262007969,ENSRNOG00000018029,Doc2g,Unchanged
